timestamp: 11/05/2015 8:14:57.588 PM, source: 20002, destination: 41192, Sequence # : 43, ACK # : 34, fin: 0 Estimated RTT: 8 ms
timestamp: 11/05/2015 8:14:57.589 PM, source: 20002, destination: 41192, Sequence # : 44, ACK # : 35, fin: 0 Estimated RTT: 7 ms
timestamp: 11/05/2015 8:14:57.589 PM, source: 20002, destination: 41192, Sequence # : 45, ACK # : 36, fin: 0 Estimated RTT: 6 ms
timestamp: 11/05/2015 8:14:57.592 PM, source: 20002, destination: 41192, Sequence # : 46, ACK # : 37, fin: 0 Estimated RTT: 6 ms
timestamp: 11/05/2015 8:14:57.593 PM, source: 20002, destination: 41192, Sequence # : 47, ACK # : 38, fin: 0 Estimated RTT: 6 ms
timestamp: 11/05/2015 8:14:57.593 PM, source: 20002, destination: 41192, Sequence # : 48, ACK # : 39, fin: 0 Estimated RTT: 6 ms
timestamp: 11/05/2015 8:14:57.593 PM, source: 20002, destination: 41192, Sequence # : 49, ACK # : 40, fin: 0 Estimated RTT: 6 ms
timestamp: 11/05/2015 8:14:57.594 PM, source: 20002, destination: 41192, Sequence # : 50, ACK # : 41, fin: 0 Estimated RTT: 6 ms
timestamp: 11/05/2015 8:14:57.595 PM, source: 20002, destination: 41192, Sequence # : 51, ACK # : 42, fin: 0 Estimated RTT: 6 ms
timestamp: 11/05/2015 8:14:57.595 PM, source: 20002, destination: 41192, Sequence # : 52, ACK # : 43, fin: 0 Estimated RTT: 6 ms
timestamp: 11/05/2015 8:14:57.596 PM, source: 20002, destination: 41192, Sequence # : 53, ACK # : 44, fin: 0 Estimated RTT: 6 ms
timestamp: 11/05/2015 8:14:57.596 PM, source: 20002, destination: 41192, Sequence # : 54, ACK # : 45, fin: 0 Estimated RTT: 6 ms
timestamp: 11/05/2015 8:14:57.596 PM, source: 20002, destination: 41192, Sequence # : 55, ACK # : 46, fin: 0 Estimated RTT: 6 ms
timestamp: 11/05/2015 8:14:57.599 PM, source: 20002, destination: 41192, Sequence # : 56, ACK # : 47, fin: 0 Estimated RTT: 6 ms
timestamp: 11/05/2015 8:14:57.599 PM, source: 20002, destination: 41192, Sequence # : 57, ACK # : 48, fin: 0 Estimated RTT: 6 ms
timestamp: 11/05/2015 8:14:57.600 PM, source: 20002, destination: 41192, Sequence # : 58, ACK # : 49, fin: 0 Estimated RTT: 6 ms
timestamp: 11/05/2015 8:14:57.600 PM, source: 20002, destination: 41192, Sequence # : 59, ACK # : 50, fin: 0 Estimated RTT: 6 ms
timestamp: 11/05/2015 8:14:57.601 PM, source: 20002, destination: 41192, Sequence # : 60, ACK # : 51, fin: 0 Estimated RTT: 6 ms
timestamp: 11/05/2015 8:14:57.601 PM, source: 20002, destination: 41192, Sequence # : 61, ACK # : 52, fin: 0 Estimated RTT: 6 ms
timestamp: 11/05/2015 8:14:57.601 PM, source: 20002, destination: 41192, Sequence # : 62, ACK # : 53, fin: 0 Estimated RTT: 5 ms
timestamp: 11/05/2015 8:14:57.602 PM, source: 20002, destination: 41192, Sequence # : 63, ACK # : 54, fin: 0 Estimated RTT: 5 ms
timestamp: 11/05/2015 8:14:57.603 PM, source: 20002, destination: 41192, Sequence # : 64, ACK # : 55, fin: 0 Estimated RTT: 5 ms
timestamp: 11/05/2015 8:14:57.603 PM, source: 20002, destination: 41192, Sequence # : 65, ACK # : 56, fin: 0 Estimated RTT: 5 ms
timestamp: 11/05/2015 8:14:57.605 PM, source: 20002, destination: 41192, Sequence # : 66, ACK # : 57, fin: 0 Estimated RTT: 5 ms
